game_id,team_id,a_team_id,spread1,spread2,price1,price2
41000303,1610612741,1610612748,5.0,-5.0,-107.0,-103.0
41000314,1610612742,1610612760,4.0,-4.0,-107.0,-103.0
41000304,1610612741,1610612748,5.0,-5.0,-101.0,-109.0
41000315,1610612760,1610612742,6.5,-6.5,-109.0,-101.0
41000305,1610612748,1610612741,3.5,-3.5,-105.0,-105.0
41000401,1610612742,1610612748,4.5,-4.5,-107.0,-103.0
41000402,1610612742,1610612748,4.5,-4.5,-107.0,-103.0
41000403,1610612748,1610612742,2.0,-2.0,-104.0,-106.0
41000404,1610612748,1610612742,3.0,-3.0,-109.0,-101.0
41000405,1610612748,1610612742,1.0,-1.0,-110.0,100.0
41000406,1610612742,1610612748,5.0,-5.0,-110.0,-110.0
21100001,1610612738,1610612752,4.5,-4.5,-105.0,-105.0
21100002,1610612748,1610612742,-4.5,4.5,-103.0,-107.0
21100003,1610612741,1610612747,-5.5,5.5,-105.0,-105.0
21100004,1610612753,1610612760,7.5,-7.5,-105.0,-105.0
21100005,1610612746,1610612744,-4.5,4.5,-102.0,-108.0
21100006,1610612751,1610612764,3.5,-3.5,-105.0,-105.0
21100007,1610612749,1610612766,-4.0,4.0,-105.0,-105.0
21100008,1610612745,1610612753,6.5,-6.5,-105.0,-105.0
21100009,1610612761,1610612739,2.0,-2.0,-103.0,-107.0
21100010,1610612765,1610612754,7.5,-7.5,-102.0,-108.0
21100011,1610612760,1610612750,-5.5,5.5,-103.0,-107.0
21100012,1610612743,1610612742,4.5,-4.5,-103.0,-107.0
21100013,1610612763,1610612759,5.0,-5.0,-105.0,-105.0
21100014,1610612740,1610612756,6.0,-6.0,-109.0,-101.0
21100015,1610612747,1610612758,-3.0,3.0,-105.0,-105.0
21100016,1610612755,1610612757,5.0,-5.0,-108.0,-102.0
21100017,1610612741,1610612744,-6.5,6.5,-107.0,-103.0
21100018,1610612737,1610612751,-4.0,4.0,-108.0,-102.0
21100019,1610612738,1610612748,9.5,-9.5,-110.0,-110.0
21100020,1610612750,1610612749,5.5,-5.5,-109.0,-101.0
21100021,1610612758,1610612757,8.5,-8.5,-107.0,-103.0
21100022,1610612762,1610612747,5.5,-5.5,-110.0,-110.0
21100023,1610612754,1610612761,-4.0,4.0,-105.0,-105.0
21100024,1610612748,1610612766,-11.0,11.0,-105.0,-105.0
21100025,1610612764,1610612737,8.5,-8.5,-109.0,-101.0
21100026,1610612739,1610612765,5.0,-5.0,-102.0,-108.0
21100027,1610612760,1610612763,1.0,-1.0,-105.0,-105.0
21100028,1610612738,1610612740,-5.0,5.0,-103.0,-107.0
21100029,1610612746,1610612759,4.5,-4.5,-102.0,-108.0
21100030,1610612762,1610612743,12.5,-12.5,-105.0,-105.0
21100031,1610612755,1610612756,-1.5,1.5,-107.0,-103.0
21100032,1610612752,1610612744,-6.0,6.0,-110.0,-110.0
21100033,1610612751,1610612753,11.0,-11.0,-102.0,-108.0
21100034,1610612759,1610612745,-3.0,3.0,-110.0,-110.0
21100035,1610612742,1610612760,5.0,-5.0,-110.0,-110.0
21100036,1610612741,1610612758,-8.0,8.0,-105.0,-105.0
21100037,1610612743,1610612757,5.5,-5.5,-110.0,-110.0
21100038,1610612752,1610612747,3.5,-3.5,-110.0,-110.0
21100039,1610612753,1610612766,-4.0,4.0,-110.0,-110.0
21100040,1610612739,1610612754,9.5,-9.5,-102.0,-108.0
21100041,1610612765,1610612738,9.5,-9.5,-110.0,-110.0
21100042,1610612751,1610612737,11.5,-11.5,-109.0,-101.0
21100043,1610612745,1610612763,6.5,-6.5,-105.0,-105.0
21100044,1610612756,1610612740,2.0,-2.0,-103.0,-107.0
21100045,1610612748,1610612750,-8.5,8.5,-103.0,-107.0
21100046,1610612764,1610612749,8.5,-8.5,-103.0,-107.0
21100047,1610612761,1610612742,8.5,-8.5,-105.0,-105.0
21100048,1610612755,1610612762,-5.0,5.0,-105.0,-105.0
21100049,1610612741,1610612746,-1.0,1.0,-110.0,-110.0
21100050,1610612743,1610612747,4.5,-4.5,-103.0,-107.0
21100051,1610612754,1610612765,-2.5,2.5,-103.0,-107.0
21100052,1610612737,1610612745,1.0,-1.0,-102.0,-108.0
21100053,1610612756,1610612760,11.0,-11.0,-103.0,-107.0
21100054,1610612752,1610612758,-1.0,1.0,-101.0,-109.0
21100055,1610612762,1610612759,13.5,-13.5,-110.0,-110.0
21100056,1610612755,1610612744,-1.0,1.0,-107.0,-103.0
21100057,1610612738,1610612764,-6.5,6.5,-108.0,-102.0
21100058,1610612761,1610612753,11.5,-11.5,-102.0,-108.0
21100059,1610612766,1610612748,14.0,-14.0,-109.0,-101.0
21100060,1610612751,1610612739,2.5,-2.5,-107.0,-103.0
21100061,1610612742,1610612750,-2.5,2.5,-105.0,-105.0
21100062,1610612763,1610612741,6.5,-6.5,-101.0,-109.0
21100063,1610612747,1610612743,5.5,-5.5,-103.0,-107.0
21100064,1610612740,1610612758,4.0,-4.0,-105.0,-105.0
21100065,1610612757,1610612746,3.0,-3.0,-102.0,-108.0
21100066,1610612744,1610612756,4.5,-4.5,-105.0,-105.0
21100067,1610612764,1610612738,10.5,-10.5,-105.0,-105.0
21100068,1610612754,1610612751,-6.0,6.0,-109.0,-101.0
21100069,1610612761,1610612752,8.5,-8.5,-109.0,-101.0
21100070,1610612737,1610612748,9.5,-9.5,-103.0,-107.0
21100071,1610612753,1610612765,-5.0,5.0,-108.0,-102.0
21100072,1610612759,1610612750,-5.0,5.0,-108.0,-102.0
21100073,1610612760,1610612742,-2.5,2.5,-109.0,-101.0
21100074,1610612749,1610612743,4.5,-4.5,-104.0,-106.0
21100075,1610612740,1610612762,6.5,-6.5,-103.0,-107.0
21100076,1610612766,1610612739,4.0,-4.0,-108.0,-102.0
21100077,1610612737,1610612741,10.0,-10.0,-105.0,-105.0
21100078,1610612758,1610612763,6.5,-6.5,-108.0,-102.0
21100079,1610612757,1610612760,4.5,-4.5,-107.0,-103.0
21100080,1610612749,1610612762,1.5,-1.5,-103.0,-107.0
21100081,1610612745,1610612747,7.5,-7.5,-105.0,-105.0
21100082,1610612739,1610612761,5.0,-5.0,-105.0,-105.0
21100083,1610612764,1610612753,13.0,-13.0,-105.0,-105.0
21100084,1610612751,1610612738,12.5,-12.5,-108.0,-102.0
21100085,1610612766,1610612752,11.0,-11.0,-107.0,-103.0
21100086,1610612754,1610612748,7.5,-7.5,-108.0,-102.0
21100087,1610612741,1610612765,-6.5,6.5,-106.0,-104.0
21100088,1610612755,1610612740,-5.5,5.5,-102.0,-108.0
21100089,1610612763,1610612750,4.5,-4.5,-102.0,-108.0
21100090,1610612756,1610612742,7.5,-7.5,-105.0,-105.0
21100091,1610612744,1610612759,7.5,-7.5,-103.0,-107.0
21100092,1610612758,1610612743,11.5,-11.5,-108.0,-102.0
21100093,1610612745,1610612746,7.0,-7.0,-109.0,-101.0
21100094,1610612748,1610612737,4.0,-4.0,-110.0,-110.0
21100095,1610612742,1610612759,2.0,-2.0,-105.0,-105.0
21100096,1610612749,1610612758,-3.0,3.0,-105.0,-105.0
21100097,1610612747,1610612757,4.0,-4.0,-105.0,-105.0
21100098,1610612751,1610612761,6.0,-6.0,-103.0,-107.0
21100099,1610612765,1610612755,10.0,-10.0,-103.0,-107.0
21100100,1610612752,1610612764,-5.5,5.5,-108.0,-102.0
21100101,1610612737,1610612766,-1.5,1.5,-102.0,-108.0
21100102,1610612754,1610612738,5.5,-5.5,-105.0,-105.0
21100103,1610612741,1610612753,-2.0,2.0,-105.0,-105.0
21100104,1610612743,1610612740,-6.5,6.5,-110.0,-110.0
21100105,1610612745,1610612760,10.5,-10.5,-110.0,-110.0
21100106,1610612739,1610612750,6.5,-6.5,-110.0,-110.0
21100107,1610612763,1610612762,-1.5,1.5,-105.0,-105.0
21100108,1610612757,1610612756,-2.0,2.0,-107.0,-103.0
21100109,1610612744,1610612747,10.5,-10.5,-105.0,-105.0
21100110,1610612741,1610612737,-6.0,6.0,-103.0,-107.0
21100111,1610612766,1610612754,10.0,-10.0,-108.0,-102.0
21100112,1610612748,1610612751,-8.5,8.5,-108.0,-102.0
21100113,1610612752,1610612765,-4.0,4.0,-106.0,-104.0
21100114,1610612761,1610612755,10.0,-10.0,-108.0,-102.0
21100115,1610612760,1610612745,-5.0,5.0,-107.0,-103.0
21100116,1610612743,1610612759,4.5,-4.5,-102.0,-108.0
21100117,1610612740,1610612742,11.5,-11.5,-101.0,-109.0
21100118,1610612749,1610612746,10.0,-10.0,-102.0,-108.0
21100119,1610612762,1610612744,3.0,-3.0,-101.0,-109.0
21100120,1610612750,1610612764,-2.5,2.5,-101.0,-109.0
21100121,1610612753,1610612758,-6.5,6.5,-107.0,-103.0
21100122,1610612759,1610612760,6.5,-6.5,-105.0,-105.0
21100123,1610612749,1610612756,7.5,-7.5,-105.0,-105.0
21100124,1610612739,1610612757,10.5,-10.5,-108.0,-102.0
21100125,1610612763,1610612747,7.5,-7.5,-109.0,-101.0
21100126,1610612750,1610612761,3.0,-3.0,-105.0,-105.0
21100127,1610612754,1610612755,7.0,-7.0,-103.0,-107.0
21100128,1610612737,1610612751,-5.5,5.5,-105.0,-105.0
21100129,1610612766,1610612752,10.5,-10.5,-103.0,-107.0
21100130,1610612765,1610612741,14.5,-14.5,-105.0,-105.0
21100131,1610612740,1610612743,13.5,-13.5,-105.0,-105.0
21100132,1610612758,1610612755,9.5,-9.5,-107.0,-103.0
21100133,1610612761,1610612764,2.5,-2.5,-103.0,-107.0
21100134,1610612745,1610612766,-3.5,3.5,-108.0,-102.0
21100135,1610612742,1610612765,-6.5,6.5,-107.0,-103.0
21100136,1610612759,1610612749,-2.0,2.0,-101.0,-109.0
21100137,1610612760,1610612763,-2.5,2.5,-102.0,-108.0
21100138,1610612741,1610612750,-6.5,6.5,-110.0,-110.0
21100139,1610612739,1610612762,6.0,-6.0,-102.0,-108.0
21100140,1610612746,1610612757,5.5,-5.5,-102.0,-108.0
21100141,1610612756,1610612747,7.5,-7.5,-102.0,-108.0
21100142,1610612748,1610612744,-9.5,9.5,-105.0,-105.0
